invoice_and_item_number,date,store_number,store_name,address,city,zip_code,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
S23314300013,2015-01-06,4608,CASEY'S GENERAL STORE #3050 / COUNCI,"510, 23RD AVE",COUNCIL BLUFFS,51503,78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11294,CROWN ROYAL CANADIAN WHISKY,24,375,7.75,11.63,5,58.15,1.88,0.5
S09535800026,2012-12-20,4405,KUM & GO #92 / ANKENY,1025 E  1ST ST,ANKENY,50021,77,POLK,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.6,5,23.0,1.88,0.5
INV-05052800004,2017-05-22,2514,HY-VEE DRUGSTORE / MARION,2790 7TH AVENUE,MARION,50129.0,57,LINN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S28085000005,2015-09-24,3456,QUICK SHOP / CLEAR LAKE,904 N 8TH ST,CLEAR LAKE,50428,17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S29471800002,2015-12-07,5149,B S MINI MART INC,"1900, SUMMER ST",BURLINGTON,52601,29,DES MOINES,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S05246500036,2012-04-26,3917,SMOKIN' JOE'S #2 TOBACCO AND LIQUOR,1606 W LOCUST ST,DAVENPORT,52804,82,SCOTT,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.6,5,23.0,1.88,0.5
INV-13137500024,2018-07-10,4456,KUM & GO #53 / IOWA CITY,955 MORMAN TREK BLVD,IOWA CITY,52246,52,JOHNSON,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
INV-04025400024,2017-03-28,3896,SMOKIN' JOE'S #18 TOBACCO AND LIQUOR OUTLET,1901 BROADWAY ST,IOWA CITY,52240,52,JOHNSON,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
INV-09134000037,2017-12-11,4296,CIRCLE B MARKET,111 MAIN ST,KEOSAUQUA,52565,89,VAN BUREN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S16900300063,2014-01-22,3890,SMOKIN' JOE'S #7 TOBACCO AND LIQUOR,904  1ST AVE NW,CEDAR RAPIDS,52405,57,LINN,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.6,5,23.0,1.88,0.5
S21593700068,2014-10-06,2662,HY-VEE WINE & SPIRITS / MUSCATINE,"522 MULBERRY, SUITE A",MUSCATINE,52761,70,MUSCATINE,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S31899600022,2016-04-20,4662,GUPPY'S ON THE GO / CEDAR RAPIDS,"1532, ELLIS BLVD NW",CEDAR RAPIDS,52405,57,LINN,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
INV-07446800040,2017-09-25,2641,HY-VEE DRUGSTORE / COUNCIL BLUFFS,757 W BROADWAY,COUNCIL BLUFFS,51501.0,78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
INV-09120000012,2017-12-11,5244,THE OX & WREN SPIRITS AND GIFTS,708 2ND  AVE  SE,CRESCO,52136,45,HOWARD,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S28165000064,2015-09-30,4757,EZ MART / BONDURANT,1111 SE LINCOLN ST,BONDURANT,50035,77,POLK,1012100.0,CANADIAN WHISKIES,115,"CONSTELLATION WINE COMPANY, INC.",11774,BLACK VELVET,24,375,3.07,4.61,5,23.05,1.88,0.5
S28708100017,2015-10-27,2666,HY-VEE #2 / ANKENY,2510 SW STATE ST,ANKENY,50023,77,POLK,1012100.0,CANADIAN WHISKIES,55,SAZERAC NORTH AMERICA,12404,CANADIAN LTD WHISKY,24,375,2.05,3.08,5,15.4,1.88,0.5
S30566400020,2016-02-04,4382,KUM & GO #8 / 8TH ST / WDM,1293 8TH AVE,WEST DES MOINES,50265,77,POLK,1012100.0,CANADIAN WHISKIES,55,SAZERAC NORTH AMERICA,12404,CANADIAN LTD WHISKY,24,375,2.05,3.08,5,15.4,1.88,0.5
S04620400092,2012-03-19,2500,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,85,STORY,1012100.0,CANADIAN WHISKIES,55,SAZERAC NORTH AMERICA,12404,CANADIAN LTD WHISKY,24,375,1.87,2.8,5,14.0,1.88,0.5
INV-00435500075,2016-09-21,2616,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,23,CLINTON,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15644,JAMESON,24,375,6.74,10.11,5,50.55,1.88,0.5
INV-09851400062,2018-01-17,3735,C B LIQUOR,1202 A AVE EAST,OSKALOOSA,52577,10,BUCHANAN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,5.5,8.25,5,39.4,1.88,0.5
S12087200023,2013-05-07,3461,HOMETOWN FOODS / STUART,611 S DIVISION ST,STUART,50250,1,ADAIR,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,4.75,7.13,5,35.65,1.88,0.5
INV-03486400028,2017-02-27,5071,JEFF'S MARKET / DURANT,408 6TH AVE,DURANT,52747,16,CEDAR,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,5.5,8.25,5,39.4,1.88,0.5
S28593200077,2015-10-21,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049,59,LUCAS,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,4.98,7.47,5,37.35,1.88,0.5
INV-00187900020,2016-09-07,5172,UPTOWN LIQUOR & TOBACCO,2000 WILLEY BLVD SW,CEDAR RAPIDS,52404,57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,5.5,8.25,5,39.4,1.88,0.5
S24740200030,2015-03-26,3920,SMOKIN' JOE'S #11 TOBACCO AND LIQUOR,1606 CAMANCHE AVE,CLINTON,52732,23,CLINTON,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,19064,JIM BEAM,24,375,4.98,7.47,5,37.35,1.88,0.5
S26206400069,2015-06-15,4757,EZ MART / BONDURANT,1111 SE LINCOLN ST,BONDURANT,50035,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21594,TEN HIGH,24,375,2.96,4.44,5,22.2,1.88,0.5
S06657700117,2012-07-18,2648,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,55,SAZERAC NORTH AMERICA,21594,TEN HIGH,24,375,2.65,3.97,5,19.85,1.88,0.5
S32080600014,2016-05-02,4867,SPEEDY GAS N SHOP,430 S 35TH ST,COUNCIL BLUFFS,51501,78,POTTAWATTAMIE,1011200.0,STRAIGHT BOURBON WHISKIES,461,CAMPARI(SKYY),22155,WILD TURKEY 101 ROUND,12,375,6.25,9.38,5,46.9,1.88,0.5
S16415800025,2013-12-20,3917,SMOKIN' JOE'S #2 TOBACCO AND LIQUOR,1606 W LOCUST ST,DAVENPORT,52804,82,SCOTT,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22784,BEAM'S 8 STAR BL WHISKEY,24,375,1.9,2.85,5,14.25,1.88,0.5
S18634900034,2014-04-28,3907,SMOKIN' JOE'S #16 TOBACCO AND LIQUOR,1504 PARK AVE,MUSCATINE,52761,70,MUSCATINE,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22784,BEAM'S 8 STAR BL WHISKEY,24,375,1.9,2.85,5,14.25,1.88,0.5
S21081800025,2014-09-08,2591,HY-VEE WINE AND SPIRITS / ATLANTIC,1602 E. 7TH ST.,ATLANTIC,50022,15,CASS,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22784,BEAM'S 8 STAR BL WHISKEY,24,375,1.9,2.85,5,14.25,1.88,0.5
S32393900086,2016-05-18,2551,HY-VEE FOOD STORE / CHARITON,2001 WEST COURT,CHARITON,50049,59,LUCAS,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22784,BEAM'S 8 STAR BL WHISKEY,24,375,2.09,3.14,5,15.7,1.88,0.5
S29902300032,2015-12-28,3912,SMOKIN' JOE'S #14 TOBACCO AND LIQUOR,225 EDGEWOOD RD,CEDAR RAPIDS,52405,57,LINN,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,22784,BEAM'S 8 STAR BL WHISKEY,24,375,2.09,3.14,5,15.7,1.88,0.5
S20260200011,2014-07-23,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,31,DUBUQUE,1011100.0,BLENDED WHISKIES,297,LAIRD AND COMPANY,23824,FIVE STAR,24,375,2.0,2.99,5,14.95,1.88,0.5
S25434400087,2015-05-04,2650,HY-VEE WINE AND SPIRITS / HARLAN,1808 23RD ST,HARLAN,51537,83,SHELBY,1011100.0,BLENDED WHISKIES,297,LAIRD AND COMPANY,23824,FIVE STAR,24,375,2.0,3.0,5,15.0,1.88,0.5
S03832200101,2012-01-31,2465,SID'S BEVERAGE SHOP,2727 DODGE ST,DUBUQUE,52003,31,DUBUQUE,1011100.0,BLENDED WHISKIES,297,LAIRD AND COMPANY,23824,FIVE STAR,24,375,1.98,2.96,5,14.8,1.88,0.5
INV-11562500044,2018-04-18,5259,GAMEDAY LIQUOR,924 LOCUST ST,GLENWOOD,51534,65,MILLS,1011100.0,BLENDED WHISKIES,297.0,LAIRD & COMPANY,23824,FIVE STAR,24,375,2.09,3.14,5,15.7,1.88,0.5
S13507200035,2013-07-23,4805,LIQUOR TOBACCO & GROCERY / FORT DODG,902 1ST AVE N,FORT DODGE,50501,94,WEBSTER,1011100.0,BLENDED WHISKIES,297,LAIRD AND COMPANY,23824,FIVE STAR,24,375,2.0,2.99,5,14.95,1.88,0.5
S33528500021,2016-07-22,5131,OASIS,"1401, BUCHANAN ST",DES MOINES,50316,77,POLK,1011100.0,BLENDED WHISKIES,65,JIM BEAM BRANDS,24454,KESSLER BLEND WHISKEY,24,375,3.15,4.73,5,23.65,1.88,0.5
INV-08915700024,2017-11-29,5172,UPTOWN LIQUOR & TOBACCO,2000 WILLEY BLVD SW,CEDAR RAPIDS,52404,57,LINN,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN BL WHISKEY,24,375,3.5,5.25,5,26.25,1.88,0.5
INV-02836500007,2017-01-20,5250,EAST SIDE LIQUOR AND TOBACCO,3804 HUBBELL AVE,DES MOINES,50317,77,POLK,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN BL WHISKEY,24,375,3.5,5.25,5,26.25,1.88,0.5
S15196800024,2013-10-16,4433,KUM & GO #24  PLEASANT HILL,5970 MORNING STAR CT,PLEASANT HILL,50317,77,POLK,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN BL WHISKEY,24,375,3.5,5.25,5,26.25,1.88,0.5
S32610400024,2016-05-31,4545,FILL R UP,14151 WABASH AVE,COUNCIL BLUFFS,51503,78,POTTAWATTAMIE,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN BL WHISKEY,24,375,3.5,5.25,5,26.25,1.88,0.5
S31410500021,2016-03-23,3869,BOOTLEGGIN' BARZINI'S FIN,412  1ST AVE,CORALVILLE,52241,52,JOHNSON,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN BL WHISKEY,24,375,3.5,5.25,5,26.25,1.88,0.5
INV-04568900035,2017-04-25,4900,KWIK STOP 4 / WATERLOO,515 BROADWAY ST,WATERLOO,50703,7,BLACK HAWK,1011100.0,BLENDED WHISKIES,260,DIAGEO AMERICAS,25604,SEAGRAMS 7 CROWN BL WHISKEY,24,375,3.5,5.25,5,26.25,1.88,0.5
INV-05896100014,2017-07-04,2572,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613.0,7,BLACK HAWK,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26585,GENTLEMAN JACK,12,375,8.5,12.75,5,60.0,1.88,0.5
S26769800032,2015-07-15,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,97,WOODBURY,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26585,GENTLEMAN JACK,12,375,6.55,9.83,5,49.15,1.88,0.5
S20902400170,2014-08-27,2625,HY-VEE WINE AND SPIRITS #2,3301 W KIMBERLY RD,DAVENPORT,52804,82,SCOTT,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26585,GENTLEMAN JACK,12,375,6.55,9.83,5,49.15,1.88,0.5
S30062200047,2016-01-06,5128,PRICE CHOPPER  /  BEAVER,1819 BEAVER AVE,DES MOINES,50310,77,POLK,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,7.0,10.5,5,52.5,1.88,0.5
S09745800086,2012-12-27,4180,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR,480 7TH AVE,MARION,52302,57,LINN,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,6.3,9.44,5,47.2,1.88,0.5
INV-12121300165,2018-05-16,2623,HY-VEE FOOD STORE #4 / SIOUX CITY,2827 HAMILTON BLVD,SIOUX CITY,51104,97,WOODBURY,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,7.5,11.25,5,56.25,1.88,0.5
S25315200030,2015-04-28,4405,KUM & GO #92 / ANKENY,1025 E  1ST ST,ANKENY,50021,77,POLK,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,6.77,10.16,5,50.8,1.88,0.5
S07658100009,2012-09-12,4402,KUM & GO #80 / RIVERSIDE,1178 ENTERPRISE DR,RIVERSIDE,52327,92,WASHINGTON,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,6.3,9.44,5,47.2,1.88,0.5
S16360400029,2013-12-18,4180,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR,480 7TH AVE,MARION,52302,57,LINN,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,6.54,9.81,5,49.05,1.88,0.5
INV-09261600035,2017-12-15,2178,"""DOUBLE """"D"""" LIQUOR STORE""",618 ROSSVILLE ROAD,WAUKON,52172,3,ALLAMAKEE,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,7.5,11.25,5,56.25,1.88,0.5
INV-03500500029,2017-02-27,2613,HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2323 W BROADWAY,COUNCIL BLUFFS,51501,78,POTTAWATTAMIE,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,7.5,11.25,5,52.5,1.88,0.5
S18129400014,2014-03-27,4921,MARKET EXPRESS,5340 16TH AVE SW,CEDAR RAPIDS,52404,57,LINN,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,6.54,9.81,5,49.05,1.88,0.5
INV-04062100105,2017-03-29,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,82,SCOTT,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,7.5,11.25,5,52.5,1.88,0.5
S23624900018,2015-01-21,3916,SMOKIN' JOE'S #5 TOBACCO AND LIQUOR,1115 ALBIA RD,OTTUMWA,52501,90,WAPELLO,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26820,JACK DANIELS OLD #7 BLACK LBL FLAT,24,375,6.77,10.16,5,50.8,1.88,0.5
S27481000006,2015-08-24,4984,FAST AVE ONE STOP,2111 PARK AVE,MUSCATINE,52761,70,MUSCATINE,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26824,JACK DANIELS OLD #7 BLACK LBL SQUARE,24,375,6.77,10.16,5,50.8,1.88,0.5
S28628900033,2015-10-22,2595,HY-VEE WINE AND SPIRITS / DENISON,"1620  4TH AVE, SOUTH",DENISON,51442,24,CRAWFORD,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26824,JACK DANIELS OLD #7 BLACK LBL SQUARE,24,375,6.77,10.16,5,50.8,1.88,0.5
INV-07234100030,2017-09-13,5172,UPTOWN LIQUOR & TOBACCO,2000 WILLEY BLVD SW,CEDAR RAPIDS,52404.0,57,LINN,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26824,JACK DANIELS OLD #7 BLACK LBL SQUARE,24,375,7.5,11.25,5,56.25,1.88,0.5
S31123600112,2016-03-08,2624,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,31,DUBUQUE,1011300.0,TENNESSEE WHISKIES,85,BROWN-FORMAN CORPORATION,26824,JACK DANIELS OLD #7 BLACK LBL SQUARE,24,375,6.77,10.16,5,50.8,1.88,0.5
INV-12855600018,2018-06-25,5149,B S MINI MART INC,"1900, SUMMER ST",BURLINGTON,52601,29,DES MOINES,1011400.0,TENNESSEE WHISKIES,85.0,BROWN FORMAN CORP.,26824,JACK DANIELS OLD #7 BLACK LBL SQUARE,24,375,7.5,11.25,5,56.25,1.88,0.5
INV-05097400019,2017-05-23,2619,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266.0,77,POLK,1011400.0,TENNESSEE WHISKIES,85,BROWN FORMAN CORP.,26824,JACK DANIELS OLD #7 BLACK LBL SQUARE,24,375,7.5,11.25,5,56.25,1.88,0.5
